Designator,Footprint,Quantity,Value,LCSC Part #
AE1,Johanson_2450AT18x100_2400-2500Mhz,1,Antenna,
"C1, C10, C11, C12, C15, C16, C8, C9",0402,8,100nF,
C13,0402,1,1.2pF,
C14,CP_EIA-3216-18_Kemet-A,1,100uF,
"C2, C3",0402,2,12pF,
"C4, C5",0402,2,6.8pF,
C6,0805,1,10uF,
C7,1206,1,22uF,
D1,0805,1,LED,
J1,PinHeader_1x13_P2.54mm_Vertical,1,Conn_01x13_Pin,
J3,microSD_HC_Wuerth_693072010801,1,Micro_SD_Card,
J4,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_14P,
JP1,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,1,Jumper_2_Bridged,
L1,0603,1,2.2uH,
L2,0402,1,3.3nH,
L3,0402,1,2.7nH,
"R1, R10, R11, R12, R13, R2, R3, R4, R8, R9",0402,10,10k,
"R5, R6",0402,2,5.1kΩ,
R7,0402,1,100k,
"SW1, SW2",SW_SPST_PTS647_Sx38,2,SW_Push,
U1,QFN-40-1EP_5x5mm_P0.4mm_EP3.6x3.6mm,1,ESP32-C6,
U2,WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm_ThermalVias,1,TPS62172DSG,
U3,SOIC-8_5P28X5P28_WIN,1,W25Q64JVSSIQ,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,C521661,
Y3,Crystal_SMD_2012-2Pin_2.0x1.2mm,1,Crystal,
